"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","Search for different products by name (example #1)","","Tue Jul 22 19:02:12 UTC 2025","skipped","Tue Jul 22 19:02:12 UTC 2025","","Product search","",""
"","3798","The user can subscribe to the newsletter","","Tue Jul 22 19:02:37 UTC 2025","passed","Tue Jul 22 19:02:40 UTC 2025","","Basic home checks","",""
"","6015","The user subscribes from the footer of the cart","","Tue Jul 22 19:02:57 UTC 2025","failed","Tue Jul 22 19:03:03 UTC 2025","","Verify subscription from the cart page","",""
"","2393","User navigates to the Test Cases page successfully","","Tue Jul 22 19:03:08 UTC 2025","passed","Tue Jul 22 19:03:10 UTC 2025","","Test Cases Page Navigation","",""
"","3895","Verify all products and the product detail page","","Tue Jul 22 19:02:15 UTC 2025","passed","Tue Jul 22 19:02:19 UTC 2025","","Product visualization","",""
"","2909","The user selects a specific quantity of a product and verifies it in the cart","","Tue Jul 22 19:02:22 UTC 2025","passed","Tue Jul 22 19:02:24 UTC 2025","","Verify product quantity in the cart","",""
"","3","El login funciona","","Tue Jul 22 19:02:32 UTC 2025","skipped","Tue Jul 22 19:02:32 UTC 2025","","Verificaciones rápidas de funciones clave","",""
"","2","Attempt to search without sending the 'search_product' parameter","","Tue Jul 22 19:02:27 UTC 2025","skipped","Tue Jul 22 19:02:27 UTC 2025","","Product search without passing ""product"" parameter","",""
"","2550","Login with missing email","","Tue Jul 22 19:01:58 UTC 2025","passed","Tue Jul 22 19:02:00 UTC 2025","","User Login Scenarios","",""
"","3941","User logs in with valid credentials","","Tue Jul 22 19:01:50 UTC 2025","passed","Tue Jul 22 19:01:54 UTC 2025","","User Login Scenarios","",""
"","1539","The login is displayed correctly","","Tue Jul 22 19:02:40 UTC 2025","passed","Tue Jul 22 19:02:42 UTC 2025","","Basic home checks","",""
"","3999","The user adds two products to the cart from the products page","","Tue Jul 22 19:02:06 UTC 2025","passed","Tue Jul 22 19:02:10 UTC 2025","","Add products to the cart","",""
"","1978","The main banner is displayed correctly","","Tue Jul 22 19:02:35 UTC 2025","passed","Tue Jul 22 19:02:37 UTC 2025","","Basic home checks","",""
"","1","Search for different products by name (example #4)","","Tue Jul 22 19:02:12 UTC 2025","skipped","Tue Jul 22 19:02:12 UTC 2025","","Product search","",""
"","2","Buscar productos y verificar el carrito después de iniciar sesión","","Tue Jul 22 19:02:30 UTC 2025","skipped","Tue Jul 22 19:02:30 UTC 2025","","Verificar persistencia del carrito luego del login","",""
"","2","The user subscribes from the homepage footer","","Tue Jul 22 19:03:05 UTC 2025","skipped","Tue Jul 22 19:03:05 UTC 2025","","Verify subscription on the homepage","",""
"","2","Search for different products by name (example #3)","","Tue Jul 22 19:02:12 UTC 2025","skipped","Tue Jul 22 19:02:12 UTC 2025","","Product search","",""
"","3347","Login with invalid credentials","","Tue Jul 22 19:01:54 UTC 2025","passed","Tue Jul 22 19:01:58 UTC 2025","","User Login Scenarios","",""
"","3","User adds products to cart, registers during checkout, and places an order","","Tue Jul 22 19:02:03 UTC 2025","skipped","Tue Jul 22 19:02:03 UTC 2025","","Place order registering during checkout","",""
"","11615","User submits the contact us form successfully","","Tue Jul 22 19:01:36 UTC 2025","passed","Tue Jul 22 19:01:48 UTC 2025","","Contact Us Form","",""
"","1","Search for different products by name (example #2)","","Tue Jul 22 19:02:12 UTC 2025","skipped","Tue Jul 22 19:02:12 UTC 2025","","Product search","",""
"","1","Se puede agregar un producto al carrito","","Tue Jul 22 19:02:32 UTC 2025","skipped","Tue Jul 22 19:02:32 UTC 2025","","Verificaciones rápidas de funciones clave","",""
