"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1877","Add Products in Cart","","Tue Jul 22 15:28:08 UTC 2025","passed","Tue Jul 22 15:28:10 UTC 2025","","Products and Cart Suite","",""
"","9801","Contact Us Form + API","","Tue Jul 22 15:27:10 UTC 2025","passed","Tue Jul 22 15:27:19 UTC 2025","","Contact Form Suite","",""
"","2946","View Category Products","","Tue Jul 22 15:27:22 UTC 2025","passed","Tue Jul 22 15:27:25 UTC 2025","","Product Exploration Suite","",""
"","2045","Login User with out email parameter + API","","Tue Jul 22 15:26:13 UTC 2025","passed","Tue Jul 22 15:26:15 UTC 2025","","Authentication Suite","",""
"","10037","Search Products and Verify Cart After Login","","Tue Jul 22 15:28:15 UTC 2025","passed","Tue Jul 22 15:28:25 UTC 2025","","Products and Cart Suite","",""
"","3564","Add to cart from Recommended items","","Tue Jul 22 15:28:25 UTC 2025","passed","Tue Jul 22 15:28:28 UTC 2025","","Products and Cart Suite","",""
"","2912","Search Product","","Tue Jul 22 15:28:05 UTC 2025","passed","Tue Jul 22 15:28:08 UTC 2025","","Products and Cart Suite","",""
"","3380","Verify Subscription in home page","","Tue Jul 22 15:27:37 UTC 2025","passed","Tue Jul 22 15:27:40 UTC 2025","","Navigation and Subscription Suite","",""
"","11935","Logout User","","Tue Jul 22 15:26:01 UTC 2025","passed","Tue Jul 22 15:26:13 UTC 2025","","Authentication Suite","",""
"","1581","created the user, using Api and deleted it ","","Tue Jul 22 15:26:15 UTC 2025","passed","Tue Jul 22 15:26:17 UTC 2025","","Authentication Suite","",""
"","15925","Place Order: Register while Checkout","","Tue Jul 22 15:26:19 UTC 2025","passed","Tue Jul 22 15:26:35 UTC 2025","","Checkout and Order Suite","",""
"","12963","Place Order: Register before Checkout","","Tue Jul 22 15:26:35 UTC 2025","passed","Tue Jul 22 15:26:48 UTC 2025","","Checkout and Order Suite","",""
"","9819","Test Case 23: Verify address details in checkout page","","Tue Jul 22 15:26:57 UTC 2025","passed","Tue Jul 22 15:27:07 UTC 2025","","Checkout and Order Suite","",""
"","8964","Place Order: Login before Checkout","","Tue Jul 22 15:26:48 UTC 2025","passed","Tue Jul 22 15:26:57 UTC 2025","","Checkout and Order Suite","",""
"","8850","Login User with incorrect email and password + API","","Tue Jul 22 15:25:52 UTC 2025","passed","Tue Jul 22 15:26:01 UTC 2025","","Authentication Suite","",""
"","2668","View & Cart Brand Products","","Tue Jul 22 15:27:25 UTC 2025","passed","Tue Jul 22 15:27:28 UTC 2025","","Product Exploration Suite","",""
"","2744","Verify Test Cases Page","","Tue Jul 22 15:27:34 UTC 2025","passed","Tue Jul 22 15:27:37 UTC 2025","","Navigation and Subscription Suite","",""
"","5741","Verify Subscription in Cart page","","Tue Jul 22 15:27:51 UTC 2025","failed","Tue Jul 22 15:27:57 UTC 2025","","Navigation and Subscription Suite","",""
"","9857","Register User","","Tue Jul 22 15:25:39 UTC 2025","passed","Tue Jul 22 15:25:49 UTC 2025","","Authentication Suite","",""
"","3768","Add review on product","","Tue Jul 22 15:27:28 UTC 2025","passed","Tue Jul 22 15:27:31 UTC 2025","","Product Exploration Suite","",""
"","3142","Login User with correct email and password","","Tue Jul 22 15:25:49 UTC 2025","passed","Tue Jul 22 15:25:52 UTC 2025","","Authentication Suite","",""
"","2280","Remove Products From Cart","","Tue Jul 22 15:28:12 UTC 2025","passed","Tue Jul 22 15:28:15 UTC 2025","","Products and Cart Suite","",""
"","5513","Verify All Products and product detail page","","Tue Jul 22 15:28:00 UTC 2025","passed","Tue Jul 22 15:28:05 UTC 2025","","Products and Cart Suite","",""
"","2134","Verify Product quantity in Cart","","Tue Jul 22 15:28:10 UTC 2025","passed","Tue Jul 22 15:28:12 UTC 2025","","Products and Cart Suite","",""
