"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","24","0","","0"
"0","","0","Verificaciones rápidas de funciones clave","2","0","","0"
"0","","0","User Login Scenarios","3","0","","0"
"0","","0","Verify product quantity in the cart","1","0","","0"
"0","","0","Product search","4","0","","0"
"0","","0","Verify subscription on the homepage","1","0","","0"
"0","","0","Place order registering during checkout","1","0","","0"
"0","","0","Verificar persistencia del carrito luego del login","1","0","","0"
"0","","0","Basic home checks","3","0","","0"
"0","","0","Test Cases Page Navigation","1","0","","0"
"0","","0","Product search without passing ""product"" parameter","1","0","","0"
"0","","1","Verify subscription from the cart page","0","0","","0"
"0","","0","Product visualization","1","0","","0"
"0","","0","Contact Us Form","1","0","","0"
"0","","0","Add products to the cart","1","0","","0"
