"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1701","Add Products in Cart","","Wed Jul 23 20:54:51 UTC 2025","passed","Wed Jul 23 20:54:53 UTC 2025","","Products and Cart Suite","",""
"","3022","El login funciona","","Wed Jul 23 20:56:47 UTC 2025","passed","Wed Jul 23 20:56:50 UTC 2025","","Verificaciones rápidas de funciones clave","",""
"","2575","Login with invalid credentials","","Wed Jul 23 20:55:31 UTC 2025","passed","Wed Jul 23 20:55:34 UTC 2025","","User Login Scenarios","",""
"","10261","Register User","","Wed Jul 23 20:52:52 UTC 2025","passed","Wed Jul 23 20:53:02 UTC 2025","","Authentication Suite","",""
"","8274","Search Products and Verify Cart After Login","","Wed Jul 23 20:54:58 UTC 2025","passed","Wed Jul 23 20:55:06 UTC 2025","","Products and Cart Suite","",""
"","10453","Test Case 23: Verify address details in checkout page","","Wed Jul 23 20:54:00 UTC 2025","passed","Wed Jul 23 20:54:10 UTC 2025","","Checkout and Order Suite","",""
"","2570","The user selects a specific quantity of a product and verifies it in the cart","","Wed Jul 23 20:56:24 UTC 2025","passed","Wed Jul 23 20:56:27 UTC 2025","","Verify product quantity in the cart","",""
"","4193","Logout User","","Wed Jul 23 20:53:09 UTC 2025","passed","Wed Jul 23 20:53:13 UTC 2025","","Authentication Suite","",""
"","2666","Search for different products by name (example #4)","","Wed Jul 23 20:56:13 UTC 2025","passed","Wed Jul 23 20:56:16 UTC 2025","","Product search","",""
"","3826","The user subscribes from the homepage footer","","Wed Jul 23 20:57:23 UTC 2025","passed","Wed Jul 23 20:57:27 UTC 2025","","Verify subscription on the homepage","",""
"","2860","Search for different products by name (example #1)","","Wed Jul 23 20:56:05 UTC 2025","passed","Wed Jul 23 20:56:08 UTC 2025","","Product search","",""
"","2262","Se puede agregar un producto al carrito","","Wed Jul 23 20:56:50 UTC 2025","passed","Wed Jul 23 20:56:52 UTC 2025","","Verificaciones rápidas de funciones clave","",""
"","3375","User logs in with valid credentials","","Wed Jul 23 20:55:28 UTC 2025","passed","Wed Jul 23 20:55:31 UTC 2025","","User Login Scenarios","",""
"","2560","Remove Products From Cart","","Wed Jul 23 20:54:55 UTC 2025","passed","Wed Jul 23 20:54:58 UTC 2025","","Products and Cart Suite","",""
"","16906","Place Order: Register while Checkout","","Wed Jul 23 20:53:20 UTC 2025","passed","Wed Jul 23 20:53:37 UTC 2025","","Checkout and Order Suite","",""
"","18372","User adds products to cart, registers during checkout, and places an order","","Wed Jul 23 20:55:39 UTC 2025","passed","Wed Jul 23 20:55:57 UTC 2025","","Place order registering during checkout","",""
"","2362","View Category Products","","Wed Jul 23 20:54:25 UTC 2025","passed","Wed Jul 23 20:54:27 UTC 2025","","Product Exploration Suite","",""
"","9187","Buscar productos y verificar el carrito después de iniciar sesión","","Wed Jul 23 20:56:35 UTC 2025","passed","Wed Jul 23 20:56:44 UTC 2025","","Verificar persistencia del carrito luego del login","",""
"","9678","Contact Us Form + API","","Wed Jul 23 20:54:13 UTC 2025","passed","Wed Jul 23 20:54:23 UTC 2025","","Contact Form Suite","",""
"","997","The main banner is displayed correctly","","Wed Jul 23 20:56:55 UTC 2025","passed","Wed Jul 23 20:56:56 UTC 2025","","Basic home checks","",""
"","3872","Login User with correct email and password","","Wed Jul 23 20:53:02 UTC 2025","passed","Wed Jul 23 20:53:06 UTC 2025","","Authentication Suite","",""
"","3003","Login User with incorrect email and password + API","","Wed Jul 23 20:53:06 UTC 2025","passed","Wed Jul 23 20:53:09 UTC 2025","","Authentication Suite","",""
"","1764","User navigates to the Test Cases page successfully","","Wed Jul 23 20:57:30 UTC 2025","passed","Wed Jul 23 20:57:32 UTC 2025","","Test Cases Page Navigation","",""
"","1236","The login is displayed correctly","","Wed Jul 23 20:57:00 UTC 2025","passed","Wed Jul 23 20:57:01 UTC 2025","","Basic home checks","",""
"","2656","Search for different products by name (example #2)","","Wed Jul 23 20:56:08 UTC 2025","passed","Wed Jul 23 20:56:11 UTC 2025","","Product search","",""
"","2186","Verify Product quantity in Cart","","Wed Jul 23 20:54:53 UTC 2025","passed","Wed Jul 23 20:54:55 UTC 2025","","Products and Cart Suite","",""
"","2576","Search for different products by name (example #3)","","Wed Jul 23 20:56:11 UTC 2025","passed","Wed Jul 23 20:56:13 UTC 2025","","Product search","",""
"","1557","created the user, using Api and deleted it ","","Wed Jul 23 20:53:16 UTC 2025","passed","Wed Jul 23 20:53:17 UTC 2025","","Authentication Suite","",""
"","3278","The user can subscribe to the newsletter","","Wed Jul 23 20:56:56 UTC 2025","passed","Wed Jul 23 20:57:00 UTC 2025","","Basic home checks","",""
"","9284","Place Order: Login before Checkout","","Wed Jul 23 20:53:51 UTC 2025","passed","Wed Jul 23 20:54:00 UTC 2025","","Checkout and Order Suite","",""
"","2240","Login User with out email parameter + API","","Wed Jul 23 20:53:13 UTC 2025","passed","Wed Jul 23 20:53:16 UTC 2025","","Authentication Suite","",""
"","2035","View & Cart Brand Products","","Wed Jul 23 20:54:28 UTC 2025","passed","Wed Jul 23 20:54:30 UTC 2025","","Product Exploration Suite","",""
"","1545","Verify Test Cases Page","","Wed Jul 23 20:54:36 UTC 2025","passed","Wed Jul 23 20:54:37 UTC 2025","","Navigation and Subscription Suite","",""
"","3518","Add to cart from Recommended items","","Wed Jul 23 20:55:06 UTC 2025","passed","Wed Jul 23 20:55:10 UTC 2025","","Products and Cart Suite","",""
"","3276","Verify Subscription in home page","","Wed Jul 23 20:54:37 UTC 2025","passed","Wed Jul 23 20:54:41 UTC 2025","","Navigation and Subscription Suite","",""
"","3128","Attempt to search without sending the 'search_product' parameter","","Wed Jul 23 20:56:29 UTC 2025","passed","Wed Jul 23 20:56:32 UTC 2025","","Product search without passing ""product"" parameter","",""
"","5447","The user subscribes from the footer of the cart","","Wed Jul 23 20:57:15 UTC 2025","failed","Wed Jul 23 20:57:21 UTC 2025","","Verify subscription from the cart page","",""
"","1741","Login with missing email","","Wed Jul 23 20:55:34 UTC 2025","passed","Wed Jul 23 20:55:36 UTC 2025","","User Login Scenarios","",""
"","2694","Verify all products and the product detail page","","Wed Jul 23 20:56:19 UTC 2025","passed","Wed Jul 23 20:56:21 UTC 2025","","Product visualization","",""
"","9587","User submits the contact us form successfully","","Wed Jul 23 20:55:16 UTC 2025","passed","Wed Jul 23 20:55:25 UTC 2025","","Contact Us Form","",""
"","1617","Verify Subscription in Cart page","","Wed Jul 23 20:54:41 UTC 2025","passed","Wed Jul 23 20:54:42 UTC 2025","","Navigation and Subscription Suite","",""
"","2597","Search Product","","Wed Jul 23 20:54:49 UTC 2025","passed","Wed Jul 23 20:54:51 UTC 2025","","Products and Cart Suite","",""
"","3486","Add review on product","","Wed Jul 23 20:54:30 UTC 2025","passed","Wed Jul 23 20:54:33 UTC 2025","","Product Exploration Suite","",""
"","3331","Verify All Products and product detail page","","Wed Jul 23 20:54:45 UTC 2025","passed","Wed Jul 23 20:54:48 UTC 2025","","Products and Cart Suite","",""
"","13660","Place Order: Register before Checkout","","Wed Jul 23 20:53:37 UTC 2025","passed","Wed Jul 23 20:53:51 UTC 2025","","Checkout and Order Suite","",""
"","2762","The user adds two products to the cart from the products page","","Wed Jul 23 20:56:00 UTC 2025","passed","Wed Jul 23 20:56:02 UTC 2025","","Add products to the cart","",""
