"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11401","User submits the contact us form successfully","","Tue Jul 22 17:20:06 UTC 2025","passed","Tue Jul 22 17:20:17 UTC 2025","","Contact Us Form","",""
"","2","Search for different products by name (example #3)","","Tue Jul 22 17:20:40 UTC 2025","skipped","Tue Jul 22 17:20:40 UTC 2025","","Product search","",""
"","2026","User navigates to the Test Cases page successfully","","Tue Jul 22 17:21:33 UTC 2025","passed","Tue Jul 22 17:21:35 UTC 2025","","Test Cases Page Navigation","",""
"","1","Search for different products by name (example #4)","","Tue Jul 22 17:20:40 UTC 2025","skipped","Tue Jul 22 17:20:40 UTC 2025","","Product search","",""
"","1930","Login with missing email","","Tue Jul 22 17:20:27 UTC 2025","passed","Tue Jul 22 17:20:29 UTC 2025","","User Login Scenarios","",""
"","2","Buscar productos y verificar el carrito después de iniciar sesión","","Tue Jul 22 17:20:56 UTC 2025","skipped","Tue Jul 22 17:20:56 UTC 2025","","Verificar persistencia del carrito luego del login","",""
"","2","Attempt to search without sending the 'search_product' parameter","","Tue Jul 22 17:20:53 UTC 2025","skipped","Tue Jul 22 17:20:53 UTC 2025","","Product search without passing ""product"" parameter","",""
"","5719","The user subscribes from the footer of the cart","","Tue Jul 22 17:21:22 UTC 2025","failed","Tue Jul 22 17:21:28 UTC 2025","","Verify subscription from the cart page","",""
"","3417","The user can subscribe to the newsletter","","Tue Jul 22 17:21:02 UTC 2025","passed","Tue Jul 22 17:21:06 UTC 2025","","Basic home checks","",""
"","2820","Login with invalid credentials","","Tue Jul 22 17:20:24 UTC 2025","passed","Tue Jul 22 17:20:27 UTC 2025","","User Login Scenarios","",""
"","2","Search for different products by name (example #2)","","Tue Jul 22 17:20:40 UTC 2025","skipped","Tue Jul 22 17:20:40 UTC 2025","","Product search","",""
"","2533","The user selects a specific quantity of a product and verifies it in the cart","","Tue Jul 22 17:20:48 UTC 2025","passed","Tue Jul 22 17:20:50 UTC 2025","","Verify product quantity in the cart","",""
"","1","Se puede agregar un producto al carrito","","Tue Jul 22 17:20:58 UTC 2025","skipped","Tue Jul 22 17:20:58 UTC 2025","","Verificaciones rápidas de funciones clave","",""
"","2","The user subscribes from the homepage footer","","Tue Jul 22 17:21:30 UTC 2025","skipped","Tue Jul 22 17:21:30 UTC 2025","","Verify subscription on the homepage","",""
"","2","Search for different products by name (example #1)","","Tue Jul 22 17:20:40 UTC 2025","skipped","Tue Jul 22 17:20:40 UTC 2025","","Product search","",""
"","3626","User logs in with valid credentials","","Tue Jul 22 17:20:20 UTC 2025","passed","Tue Jul 22 17:20:24 UTC 2025","","User Login Scenarios","",""
"","3","El login funciona","","Tue Jul 22 17:20:58 UTC 2025","skipped","Tue Jul 22 17:20:58 UTC 2025","","Verificaciones rápidas de funciones clave","",""
"","1713","The main banner is displayed correctly","","Tue Jul 22 17:21:01 UTC 2025","passed","Tue Jul 22 17:21:02 UTC 2025","","Basic home checks","",""
"","1288","The login is displayed correctly","","Tue Jul 22 17:21:06 UTC 2025","passed","Tue Jul 22 17:21:07 UTC 2025","","Basic home checks","",""
"","2","User adds products to cart, registers during checkout, and places an order","","Tue Jul 22 17:20:31 UTC 2025","skipped","Tue Jul 22 17:20:31 UTC 2025","","Place order registering during checkout","",""
"","3182","The user adds two products to the cart from the products page","","Tue Jul 22 17:20:34 UTC 2025","passed","Tue Jul 22 17:20:37 UTC 2025","","Add products to the cart","",""
"","3003","Verify all products and the product detail page","","Tue Jul 22 17:20:42 UTC 2025","passed","Tue Jul 22 17:20:45 UTC 2025","","Product visualization","",""
