"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3317","Login User with incorrect email and password + API","","Tue Jul 22 21:06:01 UTC 2025","passed","Tue Jul 22 21:06:04 UTC 2025","","Authentication Suite","",""
"","4436","Add to cart from Recommended items","","Tue Jul 22 21:08:35 UTC 2025","passed","Tue Jul 22 21:08:40 UTC 2025","","Products and Cart Suite","",""
"","10068","Place Order: Login before Checkout","","Tue Jul 22 21:06:49 UTC 2025","passed","Tue Jul 22 21:06:59 UTC 2025","","Checkout and Order Suite","",""
"","4168","Login User with correct email and password","","Tue Jul 22 21:05:56 UTC 2025","passed","Tue Jul 22 21:06:01 UTC 2025","","Authentication Suite","",""
"","3807","Search Product","","Tue Jul 22 21:08:12 UTC 2025","passed","Tue Jul 22 21:08:15 UTC 2025","","Products and Cart Suite","",""
"","3035","Remove Products From Cart","","Tue Jul 22 21:08:21 UTC 2025","passed","Tue Jul 22 21:08:24 UTC 2025","","Products and Cart Suite","",""
"","2978","View Category Products","","Tue Jul 22 21:07:26 UTC 2025","passed","Tue Jul 22 21:07:29 UTC 2025","","Product Exploration Suite","",""
"","5022","Verify All Products and product detail page","","Tue Jul 22 21:08:06 UTC 2025","passed","Tue Jul 22 21:08:11 UTC 2025","","Products and Cart Suite","",""
"","10991","Contact Us Form + API","","Tue Jul 22 21:07:13 UTC 2025","passed","Tue Jul 22 21:07:24 UTC 2025","","Contact Form Suite","",""
"","2020","Verify Test Cases Page","","Tue Jul 22 21:07:40 UTC 2025","passed","Tue Jul 22 21:07:42 UTC 2025","","Navigation and Subscription Suite","",""
"","11144","Register User","","Tue Jul 22 21:05:45 UTC 2025","passed","Tue Jul 22 21:05:56 UTC 2025","","Authentication Suite","",""
"","2556","Add Products in Cart","","Tue Jul 22 21:08:16 UTC 2025","passed","Tue Jul 22 21:08:18 UTC 2025","","Products and Cart Suite","",""
"","4350","Logout User","","Tue Jul 22 21:06:04 UTC 2025","passed","Tue Jul 22 21:06:08 UTC 2025","","Authentication Suite","",""
"","3665","Verify Subscription in home page","","Tue Jul 22 21:07:42 UTC 2025","passed","Tue Jul 22 21:07:46 UTC 2025","","Navigation and Subscription Suite","",""
"","11437","Test Case 23: Verify address details in checkout page","","Tue Jul 22 21:06:59 UTC 2025","passed","Tue Jul 22 21:07:11 UTC 2025","","Checkout and Order Suite","",""
"","2795","Verify Product quantity in Cart","","Tue Jul 22 21:08:18 UTC 2025","passed","Tue Jul 22 21:08:21 UTC 2025","","Products and Cart Suite","",""
"","11110","Search Products and Verify Cart After Login","","Tue Jul 22 21:08:24 UTC 2025","passed","Tue Jul 22 21:08:35 UTC 2025","","Products and Cart Suite","",""
"","4319","Add review on product","","Tue Jul 22 21:07:33 UTC 2025","passed","Tue Jul 22 21:07:37 UTC 2025","","Product Exploration Suite","",""
"","14904","Place Order: Register before Checkout","","Tue Jul 22 21:06:34 UTC 2025","passed","Tue Jul 22 21:06:49 UTC 2025","","Checkout and Order Suite","",""
"","18448","Place Order: Register while Checkout","","Tue Jul 22 21:06:15 UTC 2025","passed","Tue Jul 22 21:06:34 UTC 2025","","Checkout and Order Suite","",""
"","3559","View & Cart Brand Products","","Tue Jul 22 21:07:29 UTC 2025","passed","Tue Jul 22 21:07:33 UTC 2025","","Product Exploration Suite","",""
"","6266","Verify Subscription in Cart page","","Tue Jul 22 21:07:58 UTC 2025","failed","Tue Jul 22 21:08:04 UTC 2025","","Navigation and Subscription Suite","",""
"","2166","created the user, using Api and deleted it ","","Tue Jul 22 21:06:11 UTC 2025","passed","Tue Jul 22 21:06:13 UTC 2025","","Authentication Suite","",""
"","2254","Login User with out email parameter + API","","Tue Jul 22 21:06:08 UTC 2025","passed","Tue Jul 22 21:06:11 UTC 2025","","Authentication Suite","",""
